STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,pop,kids,m_nassau,m_toob,m_gc,m_dac,f_bike,f_car
36,059,517202,36059517202,1400000US36059517202,5172.02,Census Tract 5172.02,G5020,S,1468175,0,+40.8532558,-073.6272637,3668.0,762.0,True,False,True,True,0.9999999999999999,0.9999999999999999
36,059,517201,36059517201,1400000US36059517201,5172.01,Census Tract 5172.01,G5020,S,1240820,0,+40.8592539,-073.6339094,3863.0,994.0,True,False,True,True,0.9999999999999992,0.9999999999999992
36,059,300902,36059300902,1400000US36059300902,3009.02,Census Tract 3009.02,G5020,S,7140468,0,+40.7764496,-073.6778466,5425.0,882.0,True,False,False,False,0.0,0.2391687494257294
36,059,300901,36059300901,1400000US36059300901,3009.01,Census Tract 3009.01,G5020,S,4792700,128626,+40.7638827,-073.7111116,2825.0,701.0,True,False,False,False,0.0,0.0
36,059,303204,36059303204,1400000US36059303204,3032.04,Census Tract 3032.04,G5020,S,1569520,10307,+40.7400360,-073.6641093,4787.0,987.0,True,False,False,False,0.0,0.0
36,059,303203,36059303203,1400000US36059303203,3032.03,Census Tract 3032.03,G5020,S,1001282,0,+40.7485307,-073.6635012,2988.0,708.0,True,False,False,False,0.0,0.0
36,059,416802,36059416802,1400000US36059416802,4168.02,Census Tract 4168.02,G5020,S,501212,750008,+40.5833686,-073.6438138,4025.0,364.0,True,False,False,False,0.0,0.0
36,059,980100,36059980100,1400000US36059980100,9801,Census Tract 9801,G5020,S,273319,0,+40.7205006,-073.6520715,964.0,20.0,True,False,False,False,0.0,0.0
36,059,990200,36059990200,1400000US36059990200,9902,Census Tract 9902,G5020,S,0,27086403,+40.9078457,-073.6526612,0.0,0.0,True,False,True,False,0.0,0.0
36,059,407402,36059407402,1400000US36059407402,4074.02,Census Tract 4074.02,G5020,S,1474880,0,+40.7031956,-073.5825663,4107.0,724.0,True,False,False,False,0.0,0.0
