name,lat,lon,access,side
Homage Skateboard Academy,40.6836608,-73.9816577,,Nassau/west
Labor Skateboard Shop,40.7147086,-73.9916872,,Nassau/west
The Banks Historic Skate Spot,40.7108138,-74.0025513,,Nassau/west
Day One Skateshop,41.144549,-73.2536836,,Suffolk/east
,40.7095164,-74.0013623,,Nassau/west
Laurelton Playground Skatepark,40.670266,-73.7364863,,Nassau/west
KCDC,40.7172152,-73.9625383,,Nassau/west
,40.9275558,-73.8872838,,Nassau/west
Skate Yogi,40.6632327,-73.9577121,,Nassau/west
NJ Skateshop,40.722652,-74.0493641,,Nassau/west
Labor Skateboard Shop,40.7092754,-73.9372117,,Nassau/west
,40.697783,-73.9822032,,Nassau/west
Five Stride Skate Shop,40.7096587,-73.9403534,,Nassau/west
,40.7030885,-73.9239421,,Nassau/west
,40.7113004,-74.0030025,,Nassau/west
Upper West Skates,40.8016639,-73.9675636,,Nassau/west
FTC,40.7299613,-73.9804953,,Nassau/west
Maloof Skate Park,40.7431405,-73.8433171,,Nassau/west
Millennium Skate Park,40.6409975,-74.0306432,,Nassau/west
Tribeca Skatepark,40.7195538,-74.012792,yes,Nassau/west
Rampage Skate Shop,41.1672348,-73.2156256,,Suffolk/east
Astoria Skate Park,40.7777873,-73.9254129,,Nassau/west
Pier 62 Skatepark,40.7487339,-74.0094208,yes,Nassau/west
,40.5902084,-73.6013264,,Nassau/west
Castle Point Skate Park,40.7461049,-74.0228949,,Nassau/west
,40.7193562,-73.9497017,,Nassau/west
,40.882187,-73.3113043,,Suffolk/east
Washington Skate Park,40.672544,-73.985788,yes,Nassau/west
Jennings Beach Skatepark,41.1432809,-73.2358761,,Suffolk/east
Rampage Skate Park Ramps,41.1671882,-73.2159299,,Suffolk/east
Memorial Park Skate Park,41.0881042,-73.9159206,,Nassau/west
,40.786841,-74.0034821,,Nassau/west
Seba Playground Skate Park,40.5888435,-73.9197899,yes,Nassau/west
Skateboarding Rink,40.8388292,-73.7160721,,Nassau/west
,40.8872969,-72.5356174,,Suffolk/east
,40.8625001,-73.3649027,,Suffolk/east
,40.6255623,-73.6091776,,Nassau/west
,41.0631529,-73.5460254,,Nassau/west
Highbridge Skatepark,40.8464092,-73.9301622,yes,Nassau/west
,40.755572,-73.4872532,,Nassau/west
,41.0842254,-73.3957804,,Suffolk/east
,40.82682,-73.8290171,,Nassau/west
River Avenue Skate Park,40.8253381,-73.9269376,,Nassau/west
,40.9525369,-73.8581161,,Nassau/west
Keith Romaine Memorial Skate Park,40.7839925,-72.8526375,,Suffolk/east
,40.7273905,-73.9821093,yes,Nassau/west
,40.7774889,-74.0303538,,Nassau/west
Montauk Skate Park,41.037962,-71.9429463,,Suffolk/east
,40.6579431,-73.3977584,,Suffolk/east
,41.1046049,-73.3541755,,Suffolk/east
,40.6745077,-73.9431477,,Nassau/west
Canarsie Skate Park,40.6257643,-73.9006227,yes,Nassau/west
,41.1623163,-73.8677891,,Nassau/west
Andy Kessler Skate Park,40.8050588,-73.970569,yes,Nassau/west
,40.7092,-73.9448847,,Nassau/west
,40.5936583,-73.6665899,,Nassau/west
Lower East Side Skatepark,40.7113458,-73.9928785,yes,Nassau/west
,40.9225055,-72.684771,,Suffolk/east
Mullaly Skate Park,40.831156,-73.9243829,,Nassau/west
,40.7237455,-73.9366194,yes,Nassau/west
,40.764933,-73.8706376,,Nassau/west
,40.5951583,-73.7464912,,Nassau/west
Rockaway Skate Park,40.584102,-73.8133971,yes,Nassau/west
,41.0002834,-73.9879963,,Nassau/west
,40.6831768,-73.9055322,,Nassau/west
,40.7155448,-73.9364997,yes,Nassau/west
,40.7015988,-73.8560992,,Nassau/west
Maspeth Skate Park,40.7319416,-73.9248458,,Nassau/west
,40.6764177,-73.9972232,,Nassau/west
,40.6648292,-73.9116744,,Nassau/west
,40.7289328,-73.9576852,yes,Nassau/west
,40.7289069,-73.9580443,yes,Nassau/west
,40.6827632,-74.006069,,Nassau/west
,40.803526,-73.9181519,,Nassau/west
Thomas Jefferson Skate Park,40.7932899,-73.9336265,yes,Nassau/west
,40.6862791,-73.8533043,yes,Nassau/west
,40.7256036,-73.9323318,,Nassau/west
,40.9776917,-73.6826,,Nassau/west
,40.6545763,-73.8755725,,Nassau/west
,41.0693331,-72.3514046,,Suffolk/east
Coney Island Pump Track,40.5730765,-73.983884,yes,Nassau/west
Greenport Skate Park,41.1020271,-72.3736895,,Suffolk/east
