name,lon,lat,kind
Laurelton Playground Skatepark,-73.7364863,40.670266,open_LI
,-73.6013264,40.5902084,open_LI
,-73.3113043,40.882187,open_LI
Skateboarding Rink,-73.7160721,40.8388292,open_LI
,-72.5356174,40.8872969,open_LI
,-73.3649027,40.8625001,open_LI
,-73.6091776,40.6255623,open_LI
Keith Romaine Memorial Skate Park,-72.8526375,40.7839925,open_LI
Montauk Skate Park,-71.9429463,41.037962,open_LI
,-73.3977584,40.6579431,open_LI
,-73.6665899,40.5936583,open_LI
,-72.684771,40.9225055,open_LI
,-73.7464912,40.5951583,open_LI
,-72.3514046,41.0693331,open_LI
Greenport Skate Park,-72.3736895,41.1020271,open_LI
Brentwood Roberto Clemente,-73.2468,40.7865,open_LI
,-73.9822032,40.697783,open_NYC
,-73.9239421,40.7030885,open_NYC
Maloof Skate Park,-73.8433171,40.7431405,open_NYC
Astoria Skate Park,-73.9254129,40.7777873,open_NYC
,-73.9497017,40.7193562,open_NYC
Washington Skate Park,-73.985788,40.672544,open_NYC
Seba Playground Skate Park,-73.9197899,40.5888435,open_NYC
Highbridge Skatepark,-73.9301622,40.8464092,open_NYC
,-73.8290171,40.82682,open_NYC
River Avenue Skate Park,-73.9269376,40.8253381,open_NYC
,-73.9821093,40.7273905,open_NYC
,-73.9431477,40.6745077,open_NYC
Canarsie Skate Park,-73.9006227,40.6257643,open_NYC
Andy Kessler Skate Park,-73.970569,40.8050588,open_NYC
,-73.9448847,40.7092,open_NYC
Lower East Side Skatepark,-73.9928785,40.7113458,open_NYC
Mullaly Skate Park,-73.9243829,40.831156,open_NYC
,-73.9366194,40.7237455,open_NYC
,-73.8706376,40.764933,open_NYC
Rockaway Skate Park,-73.8133971,40.584102,open_NYC
,-73.9055322,40.6831768,open_NYC
,-73.9364997,40.7155448,open_NYC
,-73.8560992,40.7015988,open_NYC
Maspeth Skate Park,-73.9248458,40.7319416,open_NYC
,-73.9972232,40.6764177,open_NYC
,-73.9116744,40.6648292,open_NYC
,-73.9576852,40.7289328,open_NYC
,-73.9580443,40.7289069,open_NYC
,-73.9181519,40.803526,open_NYC
Thomas Jefferson Skate Park,-73.9336265,40.7932899,open_NYC
,-73.8533043,40.6862791,open_NYC
,-73.9323318,40.7256036,open_NYC
,-73.8755725,40.6545763,open_NYC
Coney Island Pump Track,-73.983884,40.5730765,open_NYC
Bethpage (closed),-73.4869,40.7439,closed
