NAME,B01003_001E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19013_001E,B17001_001E,B17001_002E,B03003_001E,B03003_003E,B05002_001E,B05002_013E,state,county,tract,GEOID,min_open_min,min_any_min,kids_u18,youth_5_19,hh_u25k,pop,grp
Census Tract 5170; Nassau County; New York,3646.0,0.0,36.0,44.0,47.0,130.0,204.0,83.0,32.0,87.0,31.0,1369.0,178.0,11.0,35.0,0.0,133509.0,3351.0,280.0,3646.0,628.0,3646.0,778.0,36,059,517000,36059517000,32.656,32.656,533.0,490.0,224.0,3646.0,Glen Cove
Census Tract 5171.01; Nassau County; New York,5492.0,146.0,92.0,159.0,167.0,116.0,45.0,72.0,66.0,98.0,0.0,2116.0,113.0,110.0,66.0,59.0,96250.0,5492.0,558.0,5492.0,1488.0,5492.0,1399.0,36,059,517101,36059517101,33.63333333333333,33.63333333333333,845.0,770.0,348.0,5492.0,Glen Cove
Census Tract 5171.02; Nassau County; New York,2583.0,70.0,62.0,19.0,70.0,79.0,19.0,55.0,109.0,13.0,39.0,771.0,15.0,0.0,4.0,0.0,131932.0,2379.0,36.0,2583.0,532.0,2583.0,511.0,36,059,517102,36059517102,33.20366666666667,33.20366666666667,417.0,446.0,19.0,2583.0,Glen Cove
Census Tract 5172.01; Nassau County; New York,3863.0,86.0,213.0,193.0,0.0,14.0,73.0,176.0,199.0,54.0,0.0,1870.0,438.0,191.0,27.0,74.0,41731.0,3863.0,1251.0,3863.0,1277.0,3863.0,1128.0,36,059,517201,36059517201,28.550666666666665,28.550666666666665,994.0,849.0,730.0,3863.0,Glen Cove
Census Tract 5172.02; Nassau County; New York,3668.0,87.0,301.0,146.0,23.0,0.0,77.0,21.0,0.0,107.0,27.0,1417.0,312.0,120.0,15.0,0.0,73021.0,3619.0,1355.0,3668.0,1366.0,3668.0,1149.0,36,059,517202,36059517202,27.92083333333333,27.92083333333333,762.0,625.0,447.0,3668.0,Glen Cove
Census Tract 5173.01; Nassau County; New York,3561.0,41.0,12.0,71.0,38.0,0.0,41.0,79.0,9.0,122.0,58.0,1299.0,56.0,31.0,68.0,55.0,92277.0,3523.0,189.0,3561.0,796.0,3561.0,1457.0,36,059,517301,36059517301,30.78983333333333,30.78983333333333,413.0,389.0,210.0,3561.0,Glen Cove
Census Tract 5173.02; Nassau County; New York,5319.0,186.0,127.0,145.0,19.0,50.0,211.0,218.0,169.0,115.0,98.0,1849.0,43.0,41.0,96.0,49.0,97311.0,5307.0,536.0,5319.0,2086.0,5319.0,1671.0,36,059,517302,36059517302,33.216,33.216,1190.0,941.0,229.0,5319.0,Glen Cove
Census Tract 5174; Nassau County; New York,5062.0,102.0,194.0,106.0,79.0,18.0,214.0,388.0,166.0,73.0,39.0,1828.0,20.0,0.0,64.0,41.0,181375.0,5031.0,99.0,5062.0,314.0,5062.0,565.0,36,059,517400,36059517400,24.985333333333333,24.985333333333333,1322.0,1063.0,125.0,5062.0,Rest of ring
Census Tract 5176; Nassau County; New York,4801.0,103.0,54.0,119.0,154.0,18.0,92.0,65.0,324.0,207.0,65.0,1642.0,16.0,61.0,46.0,34.0,135283.0,4801.0,155.0,4801.0,773.0,4801.0,756.0,36,059,517600,36059517600,31.246166666666667,31.246166666666667,1118.0,1006.0,157.0,4801.0,Rest of ring
Census Tract 5177.01; Nassau County; New York,7592.0,156.0,269.0,279.0,261.0,88.0,138.0,268.0,238.0,137.0,69.0,2497.0,55.0,0.0,24.0,98.0,222083.0,7575.0,233.0,7592.0,516.0,7592.0,2130.0,36,059,517701,36059517701,29.07583333333333,23.73616666666667,1746.0,1609.0,177.0,7592.0,Rest of ring
Census Tract 5177.05; Nassau County; New York,2511.0,84.0,99.0,82.0,48.0,30.0,37.0,64.0,71.0,94.0,15.0,918.0,12.0,0.0,0.0,10.0,250001.0,2507.0,96.0,2511.0,165.0,2511.0,495.0,36,059,517705,36059517705,29.943,22.244333333333334,579.0,503.0,22.0,2511.0,Rest of ring
