name,lon,lat
Laurelton Playground Skatepark,-73.7364863,40.670266
,-73.6013264,40.5902084
,-73.3113043,40.882187
Skateboarding Rink,-73.7160721,40.8388292
,-72.5356174,40.8872969
,-73.3649027,40.8625001
,-73.6091776,40.6255623
Keith Romaine Memorial Skate Park,-72.8526375,40.7839925
Montauk Skate Park,-71.9429463,41.037962
,-73.3977584,40.6579431
,-73.6665899,40.5936583
,-72.684771,40.9225055
,-73.7464912,40.5951583
,-72.3514046,41.0693331
Greenport Skate Park,-72.3736895,41.1020271
Brentwood Roberto Clemente,-73.2468,40.7865
Bethpage (closed),-73.4869,40.7439
